% time	cellId	IMSI	RNTI	rsrp	sinr
0.0632143	1	2	2	1.07682e-09	2.27013e+06
0.0642143	1	1	1	5.4396e-10	1.14677e+06
0.0642143	1	2	2	1.07682e-09	2.27013e+06
0.0652143	1	1	1	5.4396e-10	1.14677e+06
0.0652143	1	2	2	1.07682e-09	2.27013e+06
0.0662143	1	1	1	5.4396e-10	1.14677e+06
0.0662143	1	2	2	1.07682e-09	2.27013e+06
0.0672143	1	1	1	5.4396e-10	1.14677e+06
0.0672143	1	2	2	1.07682e-09	2.27013e+06
0.0682143	1	1	1	5.4396e-10	1.14677e+06
0.0682143	1	2	2	1.07682e-09	2.27013e+06
0.0692143	1	1	1	5.4396e-10	1.14677e+06
0.0692143	1	2	2	1.07682e-09	2.27013e+06
0.0702143	1	1	1	5.4396e-10	1.14677e+06
0.0702143	1	2	2	1.07682e-09	2.27013e+06
0.0712143	1	1	1	5.4396e-10	1.14677e+06
0.0712143	1	2	2	1.07682e-09	2.27013e+06
0.0722143	1	1	1	5.4396e-10	1.14677e+06
0.0722143	1	2	2	1.07682e-09	2.27013e+06
0.0732143	1	1	1	5.4396e-10	1.14677e+06
0.0732143	1	2	2	1.07682e-09	2.27013e+06
0.0742143	1	1	1	5.4396e-10	1.14677e+06
0.0742143	1	2	2	1.07682e-09	2.27013e+06
0.0752143	1	1	1	5.4396e-10	1.14677e+06
0.0752143	1	2	2	1.07682e-09	2.27013e+06
0.0762143	1	1	1	5.4396e-10	1.14677e+06
0.0762143	1	2	2	1.07682e-09	2.27013e+06
0.0772143	1	1	1	5.4396e-10	1.14677e+06
0.0772143	1	2	2	1.07682e-09	2.27013e+06
0.0782143	1	1	1	5.4396e-10	1.14677e+06
0.0782143	1	2	2	1.07682e-09	2.27013e+06
0.0792143	1	1	1	5.4396e-10	1.14677e+06
0.0792143	1	2	2	1.07682e-09	2.27013e+06
0.0802143	1	1	1	5.4396e-10	1.14677e+06
0.0802143	1	2	2	1.07682e-09	2.27013e+06
0.0812143	1	1	1	5.4396e-10	1.14677e+06
0.0812143	1	2	2	1.07682e-09	2.27013e+06
0.0822143	1	1	1	5.4396e-10	1.14677e+06
0.0822143	1	2	2	1.07682e-09	2.27013e+06
0.0832143	1	1	1	5.4396e-10	1.14677e+06
0.0832143	1	2	2	1.07682e-09	2.27013e+06
0.0842143	1	1	1	5.4396e-10	1.14677e+06
0.0842143	1	2	2	1.07682e-09	2.27013e+06
0.0852143	1	1	1	5.4396e-10	1.14677e+06
0.0852143	1	2	2	1.07682e-09	2.27013e+06
0.0862143	1	1	1	5.4396e-10	1.14677e+06
0.0862143	1	2	2	1.07682e-09	2.27013e+06
0.0872143	1	1	1	5.4396e-10	1.14677e+06
